,content_sub_pillar,medal,content_cost,medal_cost
0,Buzz/Prestige/Brand Support,Bronze,870000.0,230000.0
8,Buzz/Prestige/Brand Support,Silver,4950000.0,12882500.0
1,Engagement Anchor,Bronze,5400000.0,230000.0
14,Engagement Anchor,Gold,49000000.0,46900000.0
18,Engagement Anchor,Platinum,37846659.55,33773478.0
9,Engagement Anchor,Silver,74300000.0,12882500.0
2,Experimentation,Bronze,368407.0,230000.0
15,Experimentation,Gold,5700000.0,46900000.0
10,Experimentation,Silver,14913000.0,12882500.0
4,News & Sports,Bronze,450000.0,230000.0
5,Supporter: Broad Library,Bronze,225000.0,230000.0
12,Supporter: Broad Library,Silver,4136917.8083,12882500.0
6,Supporter: New Content,Bronze,1500000.0,230000.0
16,Supporter: New Content,Gold,46900000.0,46900000.0
20,Supporter: New Content,Platinum,20826793.45,33773478.0
13,Supporter: New Content,Silver,12500000.0,12882500.0
7,Supporter: Segment-Specific Library,Bronze,101000.0,230000.0
17,Tentpole Anchor,Gold,140100000.0,46900000.0
21,Tentpole Anchor,Platinum,216900000.0,33773478.0
